,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
0,406.00214,129.0093,348.0022,247.00891,448.00266,393.00922,568.0062,469.0094,398.00183,216.00906,506.00375,407.00943,352.0027,397.00812,295.00357,409.00632,407.0022,155.00922,386.00195,203.00908
1,406.0044,129.01082,348.0046,247.00879,448.00485,393.0109,568.0087,469.0129,398.0042,216.01016,506.00604,407.0119,352.00543,397.00732,295.00742,409.00644,407.00446,155.01082,386.00443,203.00993
2,406.00323,129.00935,348.00378,247.00671,448.00458,393.00964,568.0029,469.01062,398.003,216.00859,506.00357,407.01038,352.00513,397.00543,295.00772,409.0032,407.0033,155.00934,386.0031,203.00839
3,406.00232,129.01566,348.0031,247.0138,448.00305,393.01572,568.0028,469.01736,398.00232,216.01503,506.00317,407.01633,352.00397,397.01288,295.00684,409.011,407.00238,155.01561,386.00247,203.01505
4,405.99957,129.0119,347.99994,247.01118,448.00043,393.01108,567.9968,469.01233,397.99957,216.01141,506.00015,407.01218,352.00095,397.00995,295.00305,409.00882,406.99963,155.01189,385.99966,203.01149
5,405.99963,129.01158,347.99982,247.01007,448.00052,393.01135,567.99963,469.01196,397.99976,216.01114,506.0004,407.0121,352.00098,397.00928,295.00366,409.00778,406.99973,155.01157,385.99994,203.01111
6,406.00275,129.01828,348.00348,247.01651,448.00415,393.01804,568.0017,469.02057,398.0027,216.01764,506.00278,407.01892,352.00494,397.0155,295.0074,409.01416,407.00284,155.01826,386.00305,203.01768
7,405.99966,129.01463,348.00037,247.01288,448.00024,393.01443,568.00037,469.01663,397.99957,216.014,505.99927,407.01602,352.00134,397.01212,295.00388,409.00998,406.99976,155.01463,385.99982,203.01393
8,406.00165,129.0351,348.00177,247.03467,448.00336,393.03723,568.004,469.0405,398.00153,216.03476,506.0034,407.03918,352.0025,397.03625,295.00217,409.03522,407.0027,155.04445,386.00162,203.03505
9,406.0016,129.0353,348.00165,247.03485,448.0033,393.03754,568.004,469.0407,398.00146,216.03494,506.00327,407.03946,352.00238,397.0365,295.0021,409.03546,407.00262,155.04463,386.00153,203.03526
10,406.00378,129.02512,348.00342,247.02347,448.00623,393.02594,568.0093,469.03015,398.00372,216.0244,506.0078,407.0283,352.00476,397.0249,295.00122,409.0234,407.00488,155.03432,386.00366,203.02452
11,406.00198,129.04811,348.0005,247.04749,448.0052,393.05023,568.0104,469.0561,398.00174,216.04745,506.00845,407.053,352.00186,397.05112,294.99762,409.05115,407.0031,155.05742,386.00162,203.04805
12,406.00537,129.04352,348.00354,247.04095,448.00812,393.04477,568.01135,469.05035,398.00525,216.0427,506.01074,407.04745,352.00485,397.044,294.99966,409.04236,407.00647,155.05272,386.00513,203.04292
13,406.005,129.05894,348.0029,247.0577,448.00775,393.06244,568.01447,469.06937,398.00482,216.05841,506.0114,407.06464,352.00278,397.06216,294.99442,409.0618,407.0061,155.06819,386.00464,203.05888
14,406.00925,129.0517,348.00705,247.04912,448.0121,393.0537,568.01965,469.05994,398.0091,216.05121,506.01642,407.0571,352.00763,397.0536,294.9989,409.0529,407.0103,155.06088,386.0089,203.0512
15,406.01672,129.05998,348.01404,247.06058,448.0201,393.06302,568.02563,469.0702,398.01642,216.0598,506.02377,407.0658,352.0142,397.06595,295.00333,409.0662,407.01782,155.06914,386.01605,203.06064
16,406.01984,129.05377,348.0169,247.05246,448.02316,393.05542,568.0321,469.06454,398.01953,216.0533,506.02768,407.0584,352.0169,397.05743,295.0052,409.0584,407.02094,155.06302,386.0193,203.05353
17,406.01587,129.0597,348.0129,247.05894,448.0191,393.06204,568.0278,469.07086,398.01566,216.05937,506.02457,407.06607,352.01257,397.06406,295.00064,409.06497,407.01697,155.06891,386.01526,203.05975
18,406.02277,129.07434,348.01923,247.07446,448.02585,393.0797,568.0366,469.09015,398.02252,216.07405,506.03098,407.08258,352.0185,397.08093,295.0046,409.08313,407.02386,155.08347,386.02197,203.07455
19,406.02405,129.07129,348.02106,247.06905,448.02667,393.0753,568.03796,469.08392,398.02393,216.07089,506.0311,407.07858,352.0202,397.07544,295.00653,409.07693,407.0252,155.08057,386.02338,203.07097
20,406.02744,129.0767,348.0239,247.07587,448.03,393.0821,568.041,469.09283,398.02728,216.07622,506.0346,407.08563,352.02252,397.0824,295.00842,409.0852,407.02856,155.08589,386.0265,203.07645
21,406.02814,129.06866,348.0254,247.06668,448.03174,393.07227,568.04376,469.0832,398.02808,216.06813,506.03625,407.07614,352.02496,397.07275,295.01056,409.07394,407.0293,155.07793,386.0276,203.0684
22,406.0281,129.07907,348.02478,247.07848,448.03244,393.08493,568.043,469.0951,398.02795,216.07866,506.03696,407.0891,352.0244,397.0854,295.0105,409.08862,407.02924,155.08823,386.02747,203.07913
23,406.0282,129.06056,348.02533,247.05878,448.03174,393.0638,568.0408,469.0721,398.0279,216.06018,506.0354,407.06766,352.02512,397.06427,295.01212,409.06577,407.02936,155.0698,386.02765,203.06055
24,406.032,129.07718,348.0288,247.07607,448.0356,393.08167,568.0458,469.09082,398.03165,216.07693,506.03964,407.08563,352.02808,397.08228,295.0145,409.08365,407.0332,155.08636,386.03113,203.07722
25,406.03232,129.05713,348.02975,247.05582,448.03613,393.05902,568.04663,469.06616,398.03204,216.05687,506.03976,407.06232,352.02972,397.0604,295.0182,409.0608,407.0335,155.06631,386.0317,203.05727
26,406.0335,129.06535,348.03134,247.06538,448.0379,393.06772,568.0469,469.07642,398.03336,216.06525,506.0408,407.07095,352.03137,397.06992,295.01917,409.07086,407.03473,155.07443,386.03296,203.06566
27,406.03314,129.05733,348.03113,247.0553,448.03705,393.05933,568.0441,469.06723,398.03308,216.05702,506.03934,407.06244,352.03113,397.05902,295.02063,409.0585,407.03433,155.06662,386.03275,203.05722
28,406.03564,129.06006,348.03354,247.05905,448.03973,393.06317,568.0485,469.07108,398.03558,216.05971,506.04227,407.06674,352.03433,397.06335,295.02438,409.06467,407.0368,155.06926,386.03528,203.06
29,406.03354,129.0558,348.03174,247.05264,448.03668,393.05783,568.04346,469.06506,398.03345,216.05533,506.03793,407.06076,352.03235,397.0567,295.02173,409.05646,407.03473,155.06494,386.03326,203.05507
30,406.03375,129.05998,348.03183,247.05873,448.03687,393.06284,568.04346,469.07053,398.0337,216.05948,506.03842,407.06622,352.03226,397.06308,295.02124,409.06226,407.03497,155.0691,386.0334,203.05981
31,406.03168,129.05275,348.02988,247.04916,448.0343,393.05554,568.04236,469.06454,398.0316,216.05188,506.03574,407.05954,352.0307,397.05264,295.02164,409.0512,407.03284,155.06201,386.03137,203.05174
32,406.03162,129.0548,348.02972,247.05261,448.0343,393.05817,568.0404,469.06644,398.03156,216.05397,506.036,407.06107,352.0304,397.05606,295.02063,409.05588,407.03278,155.06406,386.03137,203.05394
33,406.0296,129.04852,348.0279,247.0461,448.0332,393.05103,568.042,469.0575,398.02954,216.04782,506.03558,407.05396,352.0289,397.0498,295.01953,409.04837,407.03082,155.05775,386.02945,203.04787
34,406.03107,129.061,348.02872,247.06046,448.03467,393.06445,568.0431,469.0744,398.03094,216.06047,506.03723,407.06888,352.02917,397.0649,295.01974,409.06555,407.0323,155.07022,386.03058,203.06082
35,406.02777,129.04913,348.02563,247.04544,448.03088,393.05112,568.03796,469.06046,398.0276,216.0482,506.03293,407.0548,352.02585,397.04874,295.01675,409.0467,407.029,155.05832,386.0273,203.04825
36,406.02753,129.04912,348.02533,247.04517,448.0305,393.05112,568.0377,469.0605,398.02734,216.04819,506.0326,407.0548,352.0254,397.04855,295.01633,409.04642,407.02875,155.0583,386.02704,203.04826
37,406.02798,129.05502,348.02536,247.0539,448.0307,393.0578,568.0395,469.06622,398.0278,216.0543,506.03375,407.0618,352.0258,397.05762,295.01556,409.05725,407.02924,155.0641,386.02753,203.0546
38,406.03018,129.04893,348.028,247.04697,448.03348,393.05075,568.0431,469.06128,398.02997,216.04803,506.03638,407.05542,352.0285,397.0503,295.02014,409.04852,407.03143,155.05807,386.0299,203.04857
39,406.0287,129.0606,348.02606,247.05905,448.03146,393.06454,568.0386,469.07477,398.02832,216.06012,506.03482,407.06882,352.02567,397.06375,295.01575,409.0625,407.0299,155.0697,386.028,203.06078
40,406.03235,129.05305,348.03033,247.05006,448.03546,393.05548,568.04553,469.0642,398.0322,216.05237,506.039,407.06018,352.03024,397.05466,295.02045,409.0527,407.03357,155.0622,386.0321,203.0526
41,406.03345,129.06766,348.03134,247.06595,448.03687,393.07123,568.0471,469.08206,398.0332,216.06732,506.0408,407.0762,352.03082,397.07184,295.01917,409.07104,407.03467,155.0768,386.03296,203.06793
42,406.0326,129.05934,348.03073,247.05554,448.03625,393.06268,568.0465,469.07166,398.0324,216.05882,506.03986,407.0665,352.03098,397.06036,295.01907,409.0592,407.0338,155.06851,386.0321,203.05865
43,406.0304,129.07132,348.028,247.06924,448.03302,393.07703,568.0427,469.0872,398.0302,216.07101,506.03748,407.0814,352.02695,397.0757,295.01483,409.07623,407.03162,155.08055,386.02994,203.0713
44,406.02838,129.06604,348.02554,247.06284,448.03192,393.07034,568.04407,469.0824,398.02808,216.06569,506.0368,407.07553,352.02536,397.06818,295.0145,409.06738,407.02966,155.0752,386.0277,203.06584
45,406.02682,129.07477,348.02396,247.07358,448.03052,393.08035,568.0402,469.09125,398.02664,216.0746,506.036,407.08444,352.02332,397.08,295.0105,409.0799,407.0281,155.08382,386.0263,203.07484
46,406.02734,129.07082,348.0243,247.06726,448.03177,393.07574,568.04395,469.0875,398.02716,216.07034,506.03775,407.0813,352.02393,397.07324,295.0106,409.07288,407.0286,155.07991,386.02692,203.07037
47,406.03156,129.08878,348.02774,247.08932,448.03598,393.09375,568.0484,469.10522,398.03134,216.08871,506.04083,407.09802,352.02667,397.09674,295.01108,409.09836,407.03278,155.09781,386.03094,203.08972
48,406.02438,129.07803,348.021,247.07564,448.02875,393.08246,568.0421,469.0935,398.02402,216.07784,506.0352,407.08707,352.01944,397.08276,295.0034,409.08298,407.02557,155.08711,386.02356,203.07828
