,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
0,1391.0026,507.99796,1340.0038,507.9974,1632.9973,528.9972,1484.002,552.9977,1378.0017,389.99762,1015.9966,534.9991,410.98938,581.0031,1333.0037,518.99744,399.9908,482.0039,1338.0027,318.99738
1,1390.9957,507.992,1339.996,507.99036,1632.9937,528.98975,1483.9962,552.98926,1377.994,389.99136,1015.99304,534.9994,410.97464,581.0034,1332.996,518.9905,399.97894,482.006,1337.9949,318.9906
2,1391.0023,507.99142,1340.0029,507.98907,1632.9873,528.99133,1484.0011,552.9896,1377.9993,389.99054,1015.9928,534.9971,410.96643,581.00037,1333.0026,518.98944,399.96973,482.00266,1338.0009,318.9896
3,1391.0016,507.99017,1340.002,507.98843,1632.9825,528.99097,1483.9996,552.9895,1377.998,389.98944,1015.99396,534.9972,410.96582,581.003,1333.0011,518.9889,399.96967,482.0052,1337.9989,318.98895
4,1391.0052,507.99048,1340.0044,507.98877,1632.9933,528.9894,1484.0061,552.98804,1378.0015,389.99,1015.9891,534.99646,410.96756,581.00214,1333.0038,518.989,399.96942,482.00574,1338.0018,318.98914
5,1391.0034,507.9907,1340.0032,507.9888,1632.9878,528.9903,1484.0034,552.98834,1378.0001,389.9903,1015.9885,534.9945,410.96814,581.00574,1333.0027,518.98914,399.96954,482.00934,1338.0013,318.98938
6,1391.0063,507.99048,1340.0063,507.98828,1632.9912,528.9914,1484.0078,552.98804,1378.0027,389.99045,1015.9903,534.9948,410.96277,581.00464,1333.006,518.9887,399.9655,482.00836,1338.0034,318.98938
7,1391.0084,507.989,1340.0078,507.98663,1632.9912,528.98755,1484.0093,552.9866,1378.0039,389.98895,1015.9861,534.9962,410.95505,581.00446,1333.0073,518.9871,399.96115,482.00854,1338.005,318.9875
8,1391.0076,507.99124,1340.007,507.98877,1632.9889,528.9918,1484.0096,552.9895,1378.0035,389.99103,1015.98425,534.995,410.9593,581.0041,1333.0066,518.989,399.96484,482.00787,1338.0046,318.9892
9,1391.006,507.98956,1340.0063,507.987,1632.9895,528.9899,1484.0087,552.98785,1378.0018,389.98956,1015.98645,534.9942,410.96704,581.0046,1333.0062,518.98694,399.97186,482.00848,1338.0043,318.98743
10,1391.0078,507.99036,1340.007,507.98773,1632.9932,528.9906,1484.0101,552.9884,1378.004,389.99008,1015.98566,534.9949,410.96338,581.00256,1333.0068,518.9877,399.97046,482.00525,1338.005,318.98804
11,1391.0084,507.99158,1340.0059,507.9892,1632.997,528.98987,1484.013,552.99,1378.0042,389.99133,1015.98334,534.99603,410.96454,581.0021,1333.0055,518.98926,399.96918,482.00482,1338.0042,318.9893
12,1391.0049,507.99146,1340.0035,507.9897,1632.9922,528.99,1484.0092,552.9893,1378.0013,389.9916,1015.9868,534.9968,410.9613,581.0011,1333.0037,518.98956,399.96387,482.00436,1338.0027,318.98978
13,1391.0042,507.99158,1340.0037,507.9901,1632.99,528.99036,1484.007,552.98914,1378.0011,389.99176,1015.9889,534.99854,410.96198,581.0003,1333.0038,518.99005,399.97046,482.00385,1338.0029,318.99033
14,1391.0037,507.9947,1340.0033,507.9934,1632.9915,528.9897,1484.0052,552.9918,1378.0023,389.995,1015.9929,534.9999,410.97827,580.99963,1333.0035,518.99335,399.9798,482.00415,1338.0033,318.99374
15,1391.0056,507.9931,1340.0052,507.99158,1632.9921,528.9886,1484.0059,552.9901,1378.0039,389.99347,1015.991,534.9967,410.9679,581.0009,1333.0056,518.9914,399.9732,482.00482,1338.005,318.992
16,1391.0048,507.9903,1340.0042,507.9897,1632.9927,528.98737,1484.0082,552.9869,1378.0045,389.9907,1015.9897,534.99567,410.9644,581.0003,1333.0048,518.9894,399.9704,482.0046,1338.0052,318.99033
17,1391.0054,507.99228,1340.0056,507.99127,1632.9897,528.9912,1484.0079,552.9888,1378.0048,389.99265,1015.9901,534.99884,410.96265,580.99994,1333.0059,518.9911,399.97025,482.00336,1338.0065,318.99176
18,1391.0057,507.9909,1340.0067,507.98956,1632.9895,528.98706,1484.0082,552.9868,1378.005,389.99103,1015.99146,534.9964,410.96332,581.0007,1333.007,518.98914,399.96924,482.00446,1338.0066,318.99
19,1391.0061,507.9879,1340.0073,507.98654,1632.9904,528.98676,1484.0067,552.984,1378.0048,389.9881,1015.9907,534.99457,410.9603,581.0018,1333.0074,518.98615,399.96582,482.00623,1338.0066,318.98706
20,1391.0035,507.98944,1340.0046,507.98737,1632.9862,528.98645,1484.0044,552.9851,1378.0018,389.98938,1015.9894,534.9948,410.96548,580.9994,1333.0049,518.9869,399.97296,482.00354,1338.0035,318.98776
21,1391.0051,507.98962,1340.0065,507.9874,1632.9861,528.98706,1484.0045,552.98584,1378.0032,389.98947,1015.994,534.9934,410.9535,581.00146,1333.0065,518.98706,399.96222,482.00574,1338.0052,318.988
22,1391.0082,507.98816,1340.0095,507.98587,1632.9866,528.98474,1484.0082,552.9842,1378.0056,389.98825,1015.9912,534.9934,410.95834,580.99915,1333.0094,518.9856,399.96722,482.0034,1338.008,318.9863
23,1391.0045,507.9873,1340.0052,507.98572,1632.9839,528.98584,1484.0055,552.98413,1378.0023,389.9872,1015.9888,534.99426,410.95422,580.9993,1333.0051,518.9855,399.96472,482.00348,1338.0049,318.9858
24,1391.0037,507.989,1340.0048,507.98734,1632.9823,528.9872,1484.0027,552.98627,1378.0028,389.98886,1015.98737,534.99536,410.95935,580.9978,1333.0048,518.9872,399.9689,482.00122,1338.0054,318.9872
25,1391.0044,507.9891,1340.0054,507.9874,1632.9886,528.98566,1484.0038,552.9856,1378.0026,389.98898,1015.99023,534.9953,410.95874,580.9967,1333.005,518.9871,399.96796,482.00104,1338.0048,318.9875
26,1391.0023,507.98798,1340.0038,507.98676,1632.9868,528.9847,1484.0013,552.9851,1378.001,389.98822,1015.99036,534.99365,410.9627,580.9973,1333.0035,518.98663,399.97144,482.00153,1338.0043,318.98727
27,1391.0043,507.9878,1340.0043,507.98666,1632.9865,528.98694,1484.0034,552.9855,1378.0026,389.98804,1015.9887,534.99603,410.96063,580.9996,1333.0042,518.98645,399.97028,482.00354,1338.0045,318.98734
28,1391.0043,507.98828,1340.0049,507.987,1632.9882,528.9875,1484.0035,552.9856,1378.0018,389.98822,1015.98785,534.9961,410.9582,580.9983,1333.005,518.98694,399.9675,482.00134,1338.0046,318.9876
29,1391.0067,507.98804,1340.0071,507.98627,1632.9948,528.9843,1484.0077,552.98615,1378.004,389.98795,1015.9963,534.9949,410.96506,580.99927,1333.0068,518.98627,399.97324,482.00116,1338.0068,318.9871
30,1391.0072,507.98907,1340.0076,507.98672,1632.9922,528.9845,1484.0073,552.9869,1378.004,389.9888,1015.993,534.9936,410.95807,580.9975,1333.0071,518.98676,399.9677,481.99966,1338.0065,318.98737
