,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9
0,534.99646,197.99826,691.9957,223.99799,650.99585,289.99802,637.9962,128.99786,531.99646,343.99826,104.00348,240.00226,555.9964,211.99832,149.00467,237.00153,594.99634,291.9981,119.00343,225.00223
1,534.9963,198.00015,691.9961,223.99991,650.9963,289.9997,637.9964,128.99962,531.9962,344.00015,104.004654,239.99918,555.996,212.0,149.00394,236.99974,594.99634,291.99997,119.00403,224.9994
2,534.9961,197.99638,691.9957,223.99658,650.9958,289.99658,637.99615,128.99641,531.996,343.99637,104.00664,240.0007,555.9957,211.99634,149.00748,236.9993,594.996,291.99612,119.00635,225.00017
3,534.99567,197.9958,691.995,223.99571,650.99506,289.99548,637.99524,128.99522,531.9956,343.9958,104.00792,239.99774,555.9951,211.99551,149.00873,236.99661,594.9953,291.9952,119.00766,224.99742
4,534.99475,197.99445,691.99445,223.99536,650.99426,289.9953,637.99445,128.99512,531.99475,343.99442,104.00687,239.99783,555.99414,211.99464,149.00705,236.9964,594.9942,291.99445,119.00705,224.99718
5,534.9934,197.99435,691.99243,223.99423,650.99243,289.9942,637.9926,128.99405,531.9934,343.99432,104.00571,239.99725,555.9928,211.99438,149.00653,236.99667,594.9929,291.99417,119.0058,224.99748
6,534.9951,197.9943,691.9943,223.9939,650.9944,289.99393,637.99457,128.99376,531.9951,343.99426,104.00166,239.99883,555.9945,211.9939,149.00275,236.9977,594.99475,291.99365,119.00168,224.99835
7,534.995,197.99744,691.9946,223.9974,650.9945,289.99707,637.9946,128.99683,531.995,343.99738,104.00177,239.9941,555.99475,211.9974,149.00319,236.99373,594.9951,291.9971,119.0025,224.99413
8,534.99347,197.99527,691.9937,223.99573,650.9934,289.99524,637.9935,128.99501,531.9934,343.9952,103.99687,239.9963,555.9935,211.99521,148.99817,236.99557,594.9938,291.99487,118.99779,224.99652
9,534.9936,197.99443,691.9935,223.99374,650.9934,289.99374,637.9936,128.9936,531.9935,343.9944,103.99725,239.99677,555.99365,211.99443,148.99829,236.99641,594.9939,291.99402,118.99797,224.99683
10,534.99207,197.99394,691.9917,223.99461,650.99146,289.9941,637.9916,128.99385,531.992,343.9939,103.99875,239.99689,555.9918,211.99403,149.00052,236.99626,594.99207,291.99396,118.999405,224.99722
11,534.99084,197.99356,691.9908,223.99445,650.99036,289.99377,637.9905,128.99355,531.99084,343.9935,103.995255,239.99448,555.99066,211.99367,148.9971,236.99344,594.99084,291.99347,118.99576,224.99454
12,534.99225,197.99422,691.99207,223.99478,650.9918,289.9942,637.99207,128.9941,531.99225,343.9941,104.000305,239.99454,555.9922,211.99425,149.00159,236.99435,594.9923,291.994,119.00032,224.99481
13,534.9959,197.99538,691.9951,223.99551,650.9952,289.99533,637.99536,128.99518,531.9959,343.9953,104.00314,239.99072,555.99585,211.99542,149.00516,236.99072,594.99603,291.99536,119.00441,224.99088
14,534.9977,197.99619,691.9967,223.9961,650.9971,289.99588,637.9973,128.99573,531.99774,343.99615,104.001144,239.9955,555.99756,211.99608,149.00316,236.9951,594.9978,291.99588,119.001755,224.99536
15,534.9995,197.99596,691.9983,223.99591,650.9987,289.99557,637.9988,128.99538,531.9995,343.99585,104.00258,239.99332,555.9994,211.99591,149.0047,236.993,594.9994,291.99564,119.00348,224.99338
16,535.0014,197.99654,692.00055,223.99695,651.00073,289.9962,638.00085,128.99594,532.0014,343.9965,104.00514,239.99632,556.0012,211.99646,149.00694,236.99585,595.0013,291.99612,119.005356,224.9962
17,535.00226,197.99536,692.00146,223.99594,651.00134,289.99533,638.00146,128.9951,532.0022,343.99536,104.0047,239.99402,556.002,211.99532,149.00673,236.99323,595.00195,291.99518,119.00525,224.99368
18,535.00134,197.9963,692.0013,223.9969,651.001,289.99634,638.001,128.99606,532.0013,343.9963,104.002914,239.99725,556.00116,211.99617,149.0039,236.99646,595.0012,291.99597,119.0036,224.99683
19,535.0012,197.99495,692.0008,223.99489,651.00073,289.99454,638.00073,128.99428,532.00116,343.9949,104.00397,239.99603,556.001,211.99481,149.00504,236.99548,595.0012,291.9947,119.004654,224.99591
20,535.0021,197.99377,692.00134,223.99405,651.00134,289.99356,638.0016,128.99335,532.0021,343.99374,104.00893,239.99478,556.00195,211.99362,149.01086,236.99358,595.002,291.99323,119.00955,224.99431
21,535.0032,197.99306,692.00256,223.9932,651.00256,289.9927,638.0027,128.99257,532.0032,343.993,104.005844,239.99486,556.0029,211.99281,149.00693,236.99405,595.003,291.99243,119.006454,224.99454
22,535.0021,197.99474,692.00134,223.99489,651.00134,289.9944,638.0015,128.99425,532.0021,343.9947,104.00702,239.995,556.0017,211.99449,149.00792,236.99463,595.00183,291.99426,119.00731,224.99501
23,535.0029,197.99852,692.0022,223.9988,651.0022,289.9985,638.0023,128.99825,532.0029,343.99847,104.00873,239.9949,556.00244,211.99841,149.00954,236.99445,595.00256,291.9982,119.00891,224.99464
24,534.9985,197.99623,691.9984,223.99683,650.99835,289.99652,637.99866,128.99629,531.9985,343.9962,104.0034,239.99832,555.998,211.99603,149.00339,236.99716,594.9982,291.99573,119.002594,224.9978
25,534.9986,197.99854,691.99817,223.99893,650.9982,289.9985,637.9983,128.9983,531.9986,343.99854,104.00459,239.99545,555.9984,211.99843,149.00513,236.99524,594.9986,291.99817,119.004684,224.9956
26,534.9999,197.99884,691.9997,223.99884,650.9996,289.99866,637.99976,128.99854,531.9999,343.9988,103.99832,239.99838,555.9996,211.99876,148.99963,236.99802,595.00006,291.99857,118.99896,224.99829
27,534.99963,197.99686,691.9997,223.99695,650.99976,289.99686,637.9999,128.99681,531.99963,343.99683,103.99794,239.99753,555.9995,211.9967,148.99869,236.99658,594.9999,291.99646,118.9984,224.99701
28,534.99994,197.99596,691.999,223.99554,650.99927,289.99564,637.9994,128.99564,531.99994,343.9959,104.002396,239.99815,555.99976,211.99582,149.00363,236.99734,594.99963,291.9953,119.00287,224.99768
29,535.0011,197.99817,692.0001,223.99742,651.0005,289.99756,638.0006,128.99751,532.00116,343.9981,104.003265,239.99677,556.0006,211.99805,149.00377,236.99597,595.0006,291.99738,119.00357,224.99635
30,535.00073,197.99805,692.0001,223.99832,651.0003,289.99832,638.0004,128.99821,532.00073,343.998,104.00159,239.99901,556.0003,211.99799,149.00293,236.99808,595.0005,291.99777,119.00195,224.99854
31,534.99945,197.99706,691.999,223.99753,650.9989,289.99704,637.9987,128.9969,531.99945,343.997,104.00491,239.99731,555.99896,211.99695,149.00546,236.9963,594.9989,291.99664,119.005325,224.99634
32,534.99994,197.9957,691.99866,223.99585,650.9986,289.99564,637.9987,128.99553,531.99994,343.99564,104.00491,239.99738,555.9989,211.99551,149.00656,236.99588,594.9989,291.99518,119.00522,224.99641
